date,day,records,avg_travel_time_min,min_travel_time_min,max_travel_time_min,avg_jam_score,min_jam_score,max_jam_score,is_complete_day,day_of_week_num,year,month,week_of_year
2025-10-31,Friday,5,10.54,10.35,10.78,85.42,83.5,87.0,True,4,2025,10,44
2025-11-03,Monday,5,13.4,12.55,14.6,67.42,61.6,71.7,True,0,2025,11,45
2025-11-04,Tuesday,5,15.55,13.37,17.78,58.64,50.6,67.3,True,1,2025,11,45
2025-11-05,Wednesday,5,15.59,13.88,17.67,58.24,50.9,64.8,True,2,2025,11,45
2025-11-06,Thursday,5,15.69,14.45,16.7,57.5,53.9,62.3,True,3,2025,11,45
2025-11-07,Friday,5,11.46,11.08,11.78,78.58,76.4,81.2,True,4,2025,11,45
2025-11-10,Monday,5,12.31,11.88,13.06,73.12,68.9,75.7,True,0,2025,11,46
2025-11-11,Tuesday,5,13.95,11.73,16.42,65.84,54.8,76.7,True,1,2025,11,46
2025-11-12,Wednesday,5,15.19,13.1,17.38,60.1,51.8,68.7,True,2,2025,11,46
2025-11-13,Thursday,5,14.36,13.1,15.67,62.9,57.4,68.7,True,3,2025,11,46
2025-11-14,Friday,5,11.79,11.12,12.4,76.46,72.6,81.0,True,4,2025,11,46
2025-11-17,Monday,5,17.44,13.48,19.87,52.62,45.3,66.7,True,0,2025,11,47
2025-11-18,Tuesday,5,24.91,20.17,27.05,36.58,33.3,44.6,True,1,2025,11,47
2025-11-19,Wednesday,5,17.52,13.4,22.88,52.96,39.3,67.2,True,2,2025,11,47
2025-11-20,Thursday,5,12.18,11.35,13.65,74.2,65.9,79.3,True,3,2025,11,47
2025-11-21,Friday,5,12.28,11.63,13.05,73.44,69.0,77.4,True,4,2025,11,47
2025-11-24,Monday,5,11.94,11.5,12.58,75.48,71.5,78.3,True,0,2025,11,48
2025-11-25,Tuesday,5,12.27,10.78,13.83,73.84,65.1,83.5,True,1,2025,11,48
2025-11-26,Wednesday,5,11.53,11.0,12.33,78.22,73.0,81.8,True,2,2025,11,48
